x, y, head, bump, ifr, batt
28, 28, 159.4, 0, 4, 621.0
28, 28, 159.4, 0, 3, 620.5
28, 28, 159.4, 0, 2, 620.0
28, 28, 159.4, 0, 1, 619.5
28, 28, 159.4, 0, 0, 619.0
29, 28, 0.0, 0, 0, 617.9
29, 28, 90.0, 1, 0, 616.5
28, 28, 180.0, 0, 0, 615.0
28, 27, 270.0, 0, 0, 613.5
29, 27, 0.0, 0, 0, 612.0
29, 28, 90.0, 0, 0, 610.5
29, 28, 90.0, 1, 0, 609.5
28, 28, 180.0, 0, 0, 608.0
27, 28, 180.0, 0, 0, 606.6
27, 27, 270.0, 0, 0, 605.1
27, 26, 270.0, 0, 0, 603.7
28, 26, 0.0, 0, 0, 602.2
29, 26, 0.0, 0, 0, 600.8
29, 27, 90.0, 0, 0, 599.3
29, 28, 90.0, 0, 0, 597.9
28, 28, 180.0, 0, 0, 596.4
27, 28, 180.0, 0, 0, 595.0
26, 28, 180.0, 0, 1, 593.6
26, 28, 270.0, 0, 0, 593.0
26, 27, 270.0, 0, 0, 591.6
26, 26, 270.0, 0, 0, 590.2
26, 25, 270.0, 0, 0, 588.8
27, 25, 0.0, 0, 0, 587.3
28, 25, 0.0, 0, 0, 585.9
29, 25, 0.0, 0, 0, 584.5
29, 26, 90.0, 0, 0, 583.0
29, 27, 90.0, 0, 0, 581.6
29, 28, 90.0, 0, 0, 580.2
28, 28, 180.0, 0, 0, 578.7
27, 28, 180.0, 0, 0, 577.3
26, 28, 180.0, 0, 0, 575.9
26, 27, 270.0, 0, 0, 574.4
26, 26, 270.0, 0, 0, 573.0
26, 25, 270.0, 0, 0, 571.6
26, 24, 270.0, 0, 0, 570.2
27, 24, 0.0, 0, 0, 568.7
28, 24, 0.0, 0, 0, 567.3
29, 24, 0.0, 0, 0, 565.9
30, 24, 0.0, 0, 0, 564.5
30, 25, 90.0, 0, 0, 563.0
30, 26, 90.0, 0, 0, 561.6
30, 27, 90.0, 0, 0, 560.2
30, 28, 90.0, 0, 0, 558.8
29, 28, 180.0, 0, 0, 557.3
28, 28, 180.0, 0, 0, 555.9
27, 28, 180.0, 0, 0, 554.5
26, 28, 180.0, 0, 0, 553.1
26, 27, 270.0, 0, 0, 551.6
26, 26, 270.0, 0, 0, 550.2
26, 25, 270.0, 0, 0, 548.8
26, 24, 270.0, 0, 0, 547.4
26, 24, 8.0, 0, 0, 545.8
27, 24, 8.0, 0, 0, 544.4
28, 24, 8.0, 0, 0, 543.0
29, 24, 8.0, 0, 0, 541.6
30, 24, 8.0, 0, 0, 540.2
31, 24, 8.0, 0, 0, 538.8
32, 24, 8.0, 0, 0, 537.4
33, 25, 8.0, 0, 0, 536.0
34, 25, 8.0, 0, 0, 534.6
35, 25, 8.0, 0, 0, 533.2
36, 25, 8.0, 0, 0, 531.8
37, 25, 8.0, 0, 0, 530.4
38, 25, 8.0, 0, 0, 529.0
39, 25, 8.0, 0, 0, 527.6
40, 26, 8.0, 0, 0, 526.2
41, 26, 8.0, 0, 0, 524.8
42, 26, 8.0, 0, 0, 523.4
43, 26, 8.0, 0, 0, 522.0
44, 26, 8.0, 0, 0, 520.6
45, 26, 8.0, 0, 0, 519.2
46, 26, 8.0, 0, 0, 517.8
47, 27, 8.0, 0, 0, 516.4
48, 27, 8.0, 0, 0, 515.0
48, 27, 8.0, 1, 0, 513.5
48, 26, 299.8, 0, 0, 512.0
48, 25, 299.8, 0, 0, 510.6
48, 25, 299.8, 1, 0, 509.5
48, 25, 78.4, 0, 0, 508.0
48, 26, 78.4, 0, 0, 506.6
48, 27, 78.4, 0, 0, 505.2
48, 28, 78.4, 0, 0, 503.8
48, 28, 78.4, 1, 0, 502.5
47, 28, 99.4, 0, 0, 501.0
47, 28, 99.4, 1, 0, 500.5
47, 28, 38.2, 0, 0, 499.0
47, 28, 38.2, 1, 0, 498.5
47, 27, 341.8, 0, 0, 497.0
48, 27, 341.8, 0, 0, 495.6
48, 27, 341.8, 1, 0, 494.5
47, 27, 139.3, 0, 0, 493.0
46, 28, 139.3, 0, 0, 491.6
45, 28, 139.3, 0, 0, 490.2
45, 28, 139.3, 1, 0, 489.5
45, 28, 73.3, 0, 0, 488.0
